Sort 1,,,,,,,,,,
Sort 1,14,64,,Data Size,Average Exchanges,,Shell Sort,Shell Sort,Quick Sort,Insertion Sort
,4970,6088399,,,,,,,,
,4973,5973820,,,,,,,,
,4987,6153656,,,,,,,,
,4993,6176278,,,,,,,,
,4997,6230865,,,,,,,,
,5007,6205230,,,,,,,,
,5023,6232429,,,,,,,,
,5027,6200323,,,,,,,,
,5028,6271683,,,,,,,,
,5034,6286888,,,,,,,,
,5044,6336097,,,,,,,,
,5055,6315581,,,,,,,,
,5074,6398858,,,,,,,,
,5085,6362125,,,,,,,,
,5096,6446951,,,,,,,,
,5102,6452882,,,,,,,,
,5118,6450108,,,,,,,,
,5133,6474911,,,,,,,,
,5148,6554136,,,,,,,,
,5149,6663854,,,,,,,,
,5184,6600932,,,,,,,,
,5185,6693908,,,,,,,,
,5189,6602011,,,,,,,,
,5203,6687304,,,,,,,,
,5221,6743331,,,,,,,,
,5240,6799737,,,,,,,,
,5249,6849756,,,,,,,,
,5252,6835790,,,,,,,,
,5257,6844841,,,,,,,,
,5263,6823463,,,,,,,,
,5272,6945598,,,,,,,,
,5315,6939419,,,,,,,,
,5323,6970111,,,,,,,,
,5340,7108599,,,,,,,,
,5360,7180734,,,,,,,,
,5368,7154822,,,,,,,,
,5400,7282106,,,,,,,,
,5404,7173965,,,,,,,,
,5405,7259313,,,,,,,,
,5406,7155364,,,,,,,,
,5409,7325239,,,,,,,,
,5410,7265529,,,,,,,,
,5411,7240614,,,,,,,,
,5425,7264893,,,,,,,,
,5454,7378233,,,,,,,,
,5455,7203746,,,,,,,,
,5461,7440675,,,,,,,,
,5471,7307377,,,,,,,,
,5475,7338427,,,,,,,,
,5503,7436317,,,,,,,,
,5508,7361207,,,,,,,,
,5509,7559316,,,,,,,,
,5527,7495135,,,,,,,,
,5543,7621461,,,,,,,,
,5551,7662799,,,,,,,,
,5553,7667047,,,,,,,,
,5575,7821212,,,,,,,,
,5582,7723279,,,,,,,,
,5598,7743496,,,,,,,,
,5617,7930201,,,,,,,,
,5622,7748609,,,,,,,,
,5624,7869485,,,,,,,,
,5634,7889214,,,,,,,,
,5636,7951335,,,,,,,,
,5655,7855363,,,,,,,,
,5661,7971477,,,,,,,,
,5709,8099141,,,,,,,,
,5717,8084338,,,,,,,,
,5726,8183752,,,,,,,,
,5735,8221535,,,,,,,,
,5764,8011766,,,,,,,,
,5764,8189346,,,,,,,,
,5781,8307625,,,,,,,,
,5783,8242482,,,,,,,,
,5786,8261412,,,,,,,,
,5788,8310640,,,,,,,,
,5828,8365070,,,,,,,,
,5830,8398950,,,,,,,,
,5832,8372109,,,,,,,,
,5832,8445495,,,,,,,,
,5839,8435880,,,,,,,,
,5879,8509854,,,,,,,,
,5903,8633108,,,,,,,,
,5922,8728034,,,,,,,,
,5950,8788114,,,,,,,,
,5953,8919997,,,,,,,,
,5960,8787099,,,,,,,,
,5969,8716493,,,,,,,,
,5974,8827515,,,,,,,,
,5976,8806024,,,,,,,,
,5977,8719720,,,,,,,,
,5991,8907432,,,,,,,,
,5998,8906318,,,,,,,,
,6011,8931904,,,,,,,,
,6017,8945668,,,,,,,,
,6017,8906555,,,,,,,,
,6032,8979706,,,,,,,,
,6034,9068286,,,,,,,,
,6049,9240089,,,,,,,,
,6068,9122356,,,,,,,,
,6074,9156359,,,,,,,,
,6077,9226896,,,,,,,,
,6080,9268296,,,,,,,,
,6118,9120436,,,,,,,,
,6131,9268684,,,,,,,,
,6151,9399425,,,,,,,,
,6157,9400044,,,,,,,,
,6160,9358781,,,,,,,,
,6182,9415510,,,,,,,,
,6203,9406709,,,,,,,,
,6209,9503247,,,,,,,,
,6218,9550687,,,,,,,,
,6227,9513689,,,,,,,,
,6255,9768286,,,,,,,,
,6256,9681147,,,,,,,,
,6284,9815044,,,,,,,,
,6286,9707198,,,,,,,,
,6294,9830558,,,,,,,,
,6315,9728134,,,,,,,,
,6341,9991756,,,,,,,,
,6341,9823879,,,,,,,,
,6342,9904818,,,,,,,,
,6354,10081320,,,,,,,,
,6357,9953629,,,,,,,,
,6373,9990796,,,,,,,,
,6375,10136825,,,,,,,,
,6381,10024826,,,,,,,,
,6386,10135142,,,,,,,,
,6411,10209260,,,,,,,,
,6419,10162638,,,,,,,,
,6422,10227170,,,,,,,,
,6431,10177759,,,,,,,,
,6442,10200848,,,,,,,,
,6471,10415892,,,,,,,,
,6507,10409198,,,,,,,,
,6514,10537576,,,,,,,,
,6516,10561110,,,,,,,,
,6555,10584073,,,,,,,,
,6569,10840945,,,,,,,,
,6588,10879820,,,,,,,,
,6595,10788689,,,,,,,,
,6599,11104366,,,,,,,,
,6615,10975734,,,,,,,,
,6620,10766015,,,,,,,,
,6621,10932374,,,,,,,,
,6658,10907907,,,,,,,,
,6668,10966952,,,,,,,,
,6672,10880791,,,,,,,,
,6673,11019172,,,,,,,,
,6701,11093043,,,,,,,,
,6711,11261277,,,,,,,,
,6726,11142645,,,,,,,,
,6757,11217213,,,,,,,,
,6762,11269417,,,,,,,,
,6774,11341051,,,,,,,,
,6793,11335979,,,,,,,,
,6801,11378936,,,,,,,,
,6819,11609490,,,,,,,,
,6820,11542319,,,,,,,,
,6828,11494410,,,,,,,,
,6839,11501071,,,,,,,,
,6849,11472748,,,,,,,,
,6849,11637280,,,,,,,,
,6861,11844127,,,,,,,,
,6863,11433147,,,,,,,,
,6878,11631345,,,,,,,,
,6893,11846777,,,,,,,,
,6894,11807555,,,,,,,,
,6903,11682381,,,,,,,,
,6904,11693599,,,,,,,,
,6928,11824723,,,,,,,,
,6935,11922937,,,,,,,,
,6939,11941870,,,,,,,,
,6956,11970608,,,,,,,,
,6957,11940283,,,,,,,,
,6962,12188386,,,,,,,,
,6974,11978029,,,,,,,,
,6975,11801177,,,,,,,,
,7013,12205182,,,,,,,,
,7021,11972746,,,,,,,,
,7029,12265175,,,,,,,,
,7033,12028091,,,,,,,,
,7039,12270393,,,,,,,,
,7061,12415746,,,,,,,,
,7069,12708582,,,,,,,,
,7070,12346874,,,,,,,,
,7072,12285715,,,,,,,,
,7080,12405204,,,,,,,,
,7089,12378444,,,,,,,,
,7090,12442538,,,,,,,,
,7094,12488834,,,,,,,,
,7102,12534025,,,,,,,,
,7134,12592258,,,,,,,,
,7136,12590572,,,,,,,,
,7153,12584627,,,,,,,,
,7163,12663583,,,,,,,,
,7164,12608602,,,,,,,,
,7165,12688091,,,,,,,,
,7167,12798902,,,,,,,,
,7182,12821624,,,,,,,,
,7184,12797373,,,,,,,,
,7187,12847473,,,,,,,,
,7193,12872874,,,,,,,,
,7206,12760473,,,,,,,,
,7216,12905482,,,,,,,,
,7226,12960373,,,,,,,,
,7227,12771956,,,,,,,,
,7235,12699407,,,,,,,,
,7271,13117724,,,,,,,,
,7273,13102925,,,,,,,,
,7282,13103850,,,,,,,,
,7285,13250134,,,,,,,,
,7291,13122649,,,,,,,,
,7293,13164682,,,,,,,,
,7306,13324041,,,,,,,,
,7309,13377539,,,,,,,,
,7320,13183080,,,,,,,,
,7326,13265112,,,,,,,,
,7344,13314031,,,,,,,,
,7360,13396908,,,,,,,,
,7368,13476858,,,,,,,,
,7379,13321755,,,,,,,,
,7379,13493617,,,,,,,,
,7381,13522488,,,,,,,,
,7389,13544909,,,,,,,,
,7400,13636963,,,,,,,,
,7417,13790008,,,,,,,,
,7418,13595280,,,,,,,,
,7420,13691943,,,,,,,,
,7430,13714858,,,,,,,,
,7431,13478490,,,,,,,,
,7431,13555432,,,,,,,,
,7443,13616848,,,,,,,,
,7452,13762127,,,,,,,,
,7463,13665610,,,,,,,,
,7485,13865486,,,,,,,,
,7486,13992125,,,,,,,,
,7487,13684699,,,,,,,,
,7501,13828076,,,,,,,,
,7504,13923077,,,,,,,,
,7505,13836615,,,,,,,,
,7507,13956001,,,,,,,,
,7510,13946200,,,,,,,,
,7518,13953020,,,,,,,,
,7521,13715330,,,,,,,,
,7527,14042610,,,,,,,,
,7529,14191147,,,,,,,,
,7533,13976638,,,,,,,,
,7555,14033765,,,,,,,,
,7561,14154344,,,,,,,,
,7561,13928446,,,,,,,,
,7572,14093094,,,,,,,,
,7589,14216133,,,,,,,,
,7589,14130542,,,,,,,,
,7592,14450341,,,,,,,,
,7593,14353967,,,,,,,,
,7604,14387875,,,,,,,,
,7615,14310087,,,,,,,,
,7620,14333183,,,,,,,,
,7624,14335379,,,,,,,,
,7633,14446178,,,,,,,,
,7666,14614559,,,,,,,,
,7668,14675017,,,,,,,,
,7668,14730411,,,,,,,,
,7671,14438438,,,,,,,,
,7680,14348188,,,,,,,,
,7688,14658537,,,,,,,,
,7705,14564812,,,,,,,,
,7713,14825176,,,,,,,,
,7713,14611635,,,,,,,,
,7717,14749178,,,,,,,,
,7724,14842458,,,,,,,,
,7735,14936904,,,,,,,,
,7746,14850493,,,,,,,,
,7750,14815560,,,,,,,,
,7761,14923317,,,,,,,,
,7761,15095284,,,,,,,,
,7782,14947122,,,,,,,,
,7788,14983067,,,,,,,,
,7796,15296342,,,,,,,,
,7802,15053897,,,,,,,,
,7802,15092789,,,,,,,,
,7829,15375011,,,,,,,,
,7830,15139246,,,,,,,,
,7862,15402169,,,,,,,,
,7878,15459087,,,,,,,,
,7898,15226986,,,,,,,,
,7911,15476602,,,,,,,,
,7913,15400638,,,,,,,,
,7945,15403826,,,,,,,,
,7947,15593387,,,,,,,,
,7966,15784073,,,,,,,,
,7970,15968550,,,,,,,,
,7987,15753483,,,,,,,,
,7997,15538727,,,,,,,,
,7998,15803647,,,,,,,,
,8008,15956532,,,,,,,,
,8018,15886387,,,,,,,,
,8030,16019801,,,,,,,,
,8052,15917283,,,,,,,,
,8064,16079445,,,,,,,,
,8071,16180176,,,,,,,,
,8080,16002076,,,,,,,,
,8103,16139015,,,,,,,,
,8106,16223038,,,,,,,,
,8110,16152038,,,,,,,,
,8144,16367871,,,,,,,,
,8144,16668199,,,,,,,,
,8145,16509698,,,,,,,,
,8147,16293070,,,,,,,,
,8167,16360511,,,,,,,,
,8167,16406838,,,,,,,,
,8176,16711274,,,,,,,,
,8193,16524348,,,,,,,,
,8195,16485921,,,,,,,,
,8196,16653893,,,,,,,,
,8207,16690815,,,,,,,,
,8215,16696670,,,,,,,,
,8242,17094722,,,,,,,,
,8255,16788008,,,,,,,,
,8259,17145736,,,,,,,,
,8260,16921724,,,,,,,,
,8269,16797329,,,,,,,,
,8288,17126305,,,,,,,,
,8303,17044620,,,,,,,,
,8314,17213624,,,,,,,,
,8314,17348175,,,,,,,,
,8321,17068529,,,,,,,,
,8355,17246332,,,,,,,,
,8358,17244534,,,,,,,,
,8361,17344416,,,,,,,,
,8364,17222824,,,,,,,,
,8369,17309364,,,,,,,,
,8370,17220109,,,,,,,,
,8383,17293707,,,,,,,,
,8387,17469831,,,,,,,,
,8388,17430206,,,,,,,,
,8394,17485629,,,,,,,,
,8398,17393440,,,,,,,,
,8407,17435435,,,,,,,,
,8416,17697278,,,,,,,,
,8424,17758295,,,,,,,,
,8429,17499383,,,,,,,,
,8433,17640592,,,,,,,,
,8437,17734196,,,,,,,,
,8440,17514933,,,,,,,,
,8447,17802222,,,,,,,,
