Sort 1,,,,,,,,Data Size,Average Comparisons,,,,Shell Sort,Quick Sort,Insertion Sort
,455,2721,,,,,,,,,,,,,
,465,2640,,,,,,,,,,,,,
,466,2659,,,,,,,,,,,,,
,469,2425,,,,,,,,,,,,,
,471,2476,,,,,,,,,,,,,
,472,2622,,,,,,,,,,,,,
,475,2248,,,,,,,,,,,,,
,487,2402,,,,,,,,,,,,,
,489,2402,,,,,,,,,,,,,
,520,3542,,,,,,,,,,,,,
,524,3087,,,,,,,,,,,,,
,524,3145,,,,,,,,,,,,,
,530,3341,,,,,,,,,,,,,
,536,3036,,,,,,,,,,,,,
,536,3025,,,,,,,,,,,,,
,544,3103,,,,,,,,,,,,,
,574,2860,,,,,,,,,,,,,
,578,4142,,,,,,,,,,,,,
,579,4027,,,,,,,,,,,,,
,580,3503,,,,,,,,,,,,,
,585,3174,,,,,,,,,,,,,
,605,2956,,,,,,,,,,,,,
,608,3895,,,,,,,,,,,,,
,614,3190,,,,,,,,,,,,,
,625,3705,,,,,,,,,,,,,
,627,3381,,,,,,,,,,,,,
,637,3045,,,,,,,,,,,,,
,641,6267,,,,,,,,,,,,,
,651,4419,,,,,,,,,,,,,
,673,4489,,,,,,,,,,,,,
,677,3773,,,,,,,,,,,,,
,684,3861,,,,,,,,,,,,,
,690,4035,,,,,,,,,,,,,
,696,4013,,,,,,,,,,,,,
,705,5421,,,,,,,,,,,,,
,708,4252,,,,,,,,,,,,,
,717,4262,,,,,,,,,,,,,
,725,3846,,,,,,,,,,,,,
,738,4822,,,,,,,,,,,,,
,763,3999,,,,,,,,,,,,,
,779,6708,,,,,,,,,,,,,
,784,5705,,,,,,,,,,,,,
,790,5308,,,,,,,,,,,,,
,791,5097,,,,,,,,,,,,,
,793,4701,,,,,,,,,,,,,
,825,4731,,,,,,,,,,,,,
,832,6326,,,,,,,,,,,,,
,843,5039,,,,,,,,,,,,,
,853,4833,,,,,,,,,,,,,
,889,5463,,,,,,,,,,,,,
,893,5018,,,,,,,,,,,,,
,897,8352,,,,,,,,,,,,,
,906,6338,,,,,,,,,,,,,
,926,5730,,,,,,,,,,,,,
,931,5978,,,,,,,,,,,,,
,946,5465,,,,,,,,,,,,,
,950,5587,,,,,,,,,,,,,
,962,6794,,,,,,,,,,,,,
,969,6091,,,,,,,,,,,,,
,981,5804,,,,,,,,,,,,,
,984,6608,,,,,,,,,,,,,
,997,5856,,,,,,,,,,,,,
,1005,5674,,,,,,,,,,,,,
,1022,5226,,,,,,,,,,,,,
,1024,15427,,,,,,,,,,,,,
,1042,7186,,,,,,,,,,,,,
,1056,7946,,,,,,,,,,,,,
,1058,7721,,,,,,,,,,,,,
,1061,6825,,,,,,,,,,,,,
,1062,6708,,,,,,,,,,,,,
,1064,6580,,,,,,,,,,,,,
,1067,6159,,,,,,,,,,,,,
,1101,6674,,,,,,,,,,,,,
,1109,6726,,,,,,,,,,,,,
,1128,6267,,,,,,,,,,,,,
,1136,6817,,,,,,,,,,,,,
,1147,6465,,,,,,,,,,,,,
,1175,7755,,,,,,,,,,,,,
,1185,7981,,,,,,,,,,,,,
,1191,7699,,,,,,,,,,,,,
,1214,6405,,,,,,,,,,,,,
,1225,8026,,,,,,,,,,,,,
,1234,7151,,,,,,,,,,,,,
,1234,7836,,,,,,,,,,,,,
,1238,7298,,,,,,,,,,,,,
,1245,7171,,,,,,,,,,,,,
,1255,8098,,,,,,,,,,,,,
,1258,7625,,,,,,,,,,,,,
,1266,8335,,,,,,,,,,,,,
,1272,7606,,,,,,,,,,,,,
,1287,14182,,,,,,,,,,,,,
,1293,11964,,,,,,,,,,,,,
,1302,8689,,,,,,,,,,,,,
,1313,9327,,,,,,,,,,,,,
,1315,9883,,,,,,,,,,,,,
,1320,8176,,,,,,,,,,,,,
,1324,8652,,,,,,,,,,,,,
,1336,8825,,,,,,,,,,,,,
,1349,9132,,,,,,,,,,,,,
,1360,9134,,,,,,,,,,,,,
,1362,8641,,,,,,,,,,,,,
,1375,7672,,,,,,,,,,,,,
,1401,8861,,,,,,,,,,,,,
,1401,7597,,,,,,,,,,,,,
,1420,10983,,,,,,,,,,,,,
,1439,8701,,,,,,,,,,,,,
,1444,8779,,,,,,,,,,,,,
,1457,9866,,,,,,,,,,,,,
,1475,12151,,,,,,,,,,,,,
,1512,9322,,,,,,,,,,,,,
,1520,10104,,,,,,,,,,,,,
,1520,11180,,,,,,,,,,,,,
,1534,9067,,,,,,,,,,,,,
,1549,16507,,,,,,,,,,,,,
,1557,12538,,,,,,,,,,,,,
,1559,12551,,,,,,,,,,,,,
,1594,10736,,,,,,,,,,,,,
,1595,10003,,,,,,,,,,,,,
,1597,11079,,,,,,,,,,,,,
,1607,11424,,,,,,,,,,,,,
,1616,10921,,,,,,,,,,,,,
,1624,10711,,,,,,,,,,,,,
,1630,10431,,,,,,,,,,,,,
,1635,11425,,,,,,,,,,,,,
,1640,10291,,,,,,,,,,,,,
,1641,10769,,,,,,,,,,,,,
,1652,10065,,,,,,,,,,,,,
,1660,9681,,,,,,,,,,,,,
,1673,12444,,,,,,,,,,,,,
,1679,11379,,,,,,,,,,,,,
,1692,10577,,,,,,,,,,,,,
,1710,11620,,,,,,,,,,,,,
,1712,11830,,,,,,,,,,,,,
,1713,10887,,,,,,,,,,,,,
,1727,11529,,,,,,,,,,,,,
,1728,15111,,,,,,,,,,,,,
,1741,10980,,,,,,,,,,,,,
,1746,11046,,,,,,,,,,,,,
,1751,11582,,,,,,,,,,,,,
,1755,11223,,,,,,,,,,,,,
,1796,18174,,,,,,,,,,,,,
,1798,17250,,,,,,,,,,,,,
,1808,15927,,,,,,,,,,,,,
Sort 3,1813,15219,,,,,,,,,,,,,
,1818,13232,,,,,,,,,,,,,
,1830,12053,,,,,,,,,,,,,
,1838,13480,,,,,,,,,,,,,
,1846,11644,,,,,,,,,,,,,
,1849,12846,,,,,,,,,,,,,
,1854,12000,,,,,,,,,,,,,
,1857,15100,,,,,,,,,,,,,
,1865,11758,,,,,,,,,,,,,
,1866,13249,,,,,,,,,,,,,
,1955,13924,,,,,,,,,,,,,
,1965,13047,,,,,,,,,,,,,
,1984,15319,,,,,,,,,,,,,
,2006,13775,,,,,,,,,,,,,
,2006,12789,,,,,,,,,,,,,
,2009,12003,,,,,,,,,,,,,
,2014,13351,,,,,,,,,,,,,
,2020,14732,,,,,,,,,,,,,
,2024,13060,,,,,,,,,,,,,
,2031,11611,,,,,,,,,,,,,
,2058,22939,,,,,,,,,,,,,
,2061,19333,,,,,,,,,,,,,
,2064,17615,,,,,,,,,,,,,
,2066,17140,,,,,,,,,,,,,
,2071,17085,,,,,,,,,,,,,
,2071,18973,,,,,,,,,,,,,
,2085,16264,,,,,,,,,,,,,
,2128,15956,,,,,,,,,,,,,
,2149,14385,,,,,,,,,,,,,
,2167,14688,,,,,,,,,,,,,
,2178,19939,,,,,,,,,,,,,
,2183,18164,,,,,,,,,,,,,
,2196,14440,,,,,,,,,,,,,
,2210,16840,,,,,,,,,,,,,
,2222,13371,,,,,,,,,,,,,
,2234,16457,,,,,,,,,,,,,
,2240,19355,,,,,,,,,,,,,
,2240,18669,,,,,,,,,,,,,
,2246,15642,,,,,,,,,,,,,
,2249,15306,,,,,,,,,,,,,
,2259,15753,,,,,,,,,,,,,
,2273,16621,,,,,,,,,,,,,
,2275,16493,,,,,,,,,,,,,
,2292,13838,,,,,,,,,,,,,
,2301,15279,,,,,,,,,,,,,
,2332,17607,,,,,,,,,,,,,
,2339,19310,,,,,,,,,,,,,
,2345,18006,,,,,,,,,,,,,
,2350,15972,,,,,,,,,,,,,
,2352,16614,,,,,,,,,,,,,
,2360,17388,,,,,,,,,,,,,
,2361,18544,,,,,,,,,,,,,
,2366,15807,,,,,,,,,,,,,
,2369,20593,,,,,,,,,,,,,
,2370,19533,,,,,,,,,,,,,
,2373,18328,,,,,,,,,,,,,
,2393,15317,,,,,,,,,,,,,
,2395,15715,,,,,,,,,,,,,
,2402,17698,,,,,,,,,,,,,
,2404,16658,,,,,,,,,,,,,
,2405,15741,,,,,,,,,,,,,
,2411,15789,,,,,,,,,,,,,
,2422,17477,,,,,,,,,,,,,
,2422,15652,,,,,,,,,,,,,
,2424,15935,,,,,,,,,,,,,
,2435,22531,,,,,,,,,,,,,
,2447,18523,,,,,,,,,,,,,
,2463,16963,,,,,,,,,,,,,
,2470,15289,,,,,,,,,,,,,
,2477,15589,,,,,,,,,,,,,
,2484,16049,,,,,,,,,,,,,
,2485,16695,,,,,,,,,,,,,
,2490,15642,,,,,,,,,,,,,
,2519,17435,,,,,,,,,,,,,
,2522,16252,,,,,,,,,,,,,
,2525,18205,,,,,,,,,,,,,
,2532,17482,,,,,,,,,,,,,
,2533,18188,,,,,,,,,,,,,
,2534,16521,,,,,,,,,,,,,
,2560,44548,,,,,,,,,,,,,
,2570,27254,,,,,,,,,,,,,
,2579,24774,,,,,,,,,,,,,
,2598,19702,,,,,,,,,,,,,
,2610,20571,,,,,,,,,,,,,
,2629,20356,,,,,,,,,,,,,
,2632,19112,,,,,,,,,,,,,
,2634,18649,,,,,,,,,,,,,
,2636,18269,,,,,,,,,,,,,
,2638,19472,,,,,,,,,,,,,
,2642,19800,,,,,,,,,,,,,
,2644,18328,,,,,,,,,,,,,
,2645,17558,,,,,,,,,,,,,
,2648,17678,,,,,,,,,,,,,
,2654,20417,,,,,,,,,,,,,
,2656,21364,,,,,,,,,,,,,
,2665,18722,,,,,,,,,,,,,
,2677,17326,,,,,,,,,,,,,
,2696,21688,,,,,,,,,,,,,
,2730,17712,,,,,,,,,,,,,
,2735,17797,,,,,,,,,,,,,
,2742,17962,,,,,,,,,,,,,
,2745,17679,,,,,,,,,,,,,
,2747,18496,,,,,,,,,,,,,
,2756,19251,,,,,,,,,,,,,
,2762,19883,,,,,,,,,,,,,
,2763,22954,,,,,,,,,,,,,
,2774,18469,,,,,,,,,,,,,
,2786,20264,,,,,,,,,,,,,
,2791,20370,,,,,,,,,,,,,
,2791,20759,,,,,,,,,,,,,
,2812,17123,,,,,,,,,,,,,
,2825,27027,,,,,,,,,,,,,
,2846,21035,,,,,,,,,,,,,
,2848,22237,,,,,,,,,,,,,
,2863,21734,,,,,,,,,,,,,
,2879,19147,,,,,,,,,,,,,
,2886,21197,,,,,,,,,,,,,
,2887,20947,,,,,,,,,,,,,
,2891,21969,,,,,,,,,,,,,
,2914,21455,,,,,,,,,,,,,
,2930,20235,,,,,,,,,,,,,
,2937,17661,,,,,,,,,,,,,
,3019,21418,,,,,,,,,,,,,
,3038,19802,,,,,,,,,,,,,
,3050,22816,,,,,,,,,,,,,
,3056,20032,,,,,,,,,,,,,
,3064,19434,,,,,,,,,,,,,
,3064,19897,,,,,,,,,,,,,
,3065,20317,,,,,,,,,,,,,
,3082,41525,,,,,,,,,,,,,
,3089,33700,,,,,,,,,,,,,
,3103,29298,,,,,,,,,,,,,
,3113,25536,,,,,,,,,,,,,
,3130,24448,,,,,,,,,,,,,
,3142,25943,,,,,,,,,,,,,
,3161,23340,,,,,,,,,,,,,
,3163,21463,,,,,,,,,,,,,
,3168,25554,,,,,,,,,,,,,
,3169,27151,,,,,,,,,,,,,
,3175,22929,,,,,,,,,,,,,
,3175,23539,,,,,,,,,,,,,
,3221,25358,,,,,,,,,,,,,
,3239,21859,,,,,,,,,,,,,
,3246,21454,,,,,,,,,,,,,
,3261,23013,,,,,,,,,,,,,
,3267,27451,,,,,,,,,,,,,
,3270,24788,,,,,,,,,,,,,
,3271,23390,,,,,,,,,,,,,
,3275,23592,,,,,,,,,,,,,
,3280,23037,,,,,,,,,,,,,
,3292,22387,,,,,,,,,,,,,
,3298,23551,,,,,,,,,,,,,
,3303,21703,,,,,,,,,,,,,
,3322,21544,,,,,,,,,,,,,
,3360,30335,,,,,,,,,,,,,
,3373,25087,,,,,,,,,,,,,
,3379,26434,,,,,,,,,,,,,
,3383,23016,,,,,,,,,,,,,
,3390,23855,,,,,,,,,,,,,
,3434,23597,,,,,,,,,,,,,
,3447,23894,,,,,,,,,,,,,
,3449,22489,,,,,,,,,,,,,
,3456,35230,,,,,,,,,,,,,
,3479,26014,,,,,,,,,,,,,
,3487,21964,,,,,,,,,,,,,
,3490,27066,,,,,,,,,,,,,
,3493,26687,,,,,,,,,,,,,
,3499,24584,,,,,,,,,,,,,
,3518,28907,,,,,,,,,,,,,
,3522,27767,,,,,,,,,,,,,
,3553,26969,,,,,,,,,,,,,
,3558,25249,,,,,,,,,,,,,
,3560,23976,,,,,,,,,,,,,
,3571,24865,,,,,,,,,,,,,
,3588,43092,,,,,,,,,,,,,
,3589,49663,,,,,,,,,,,,,
,3592,39156,,,,,,,,,,,,,
,3612,32576,,,,,,,,,,,,,
,3645,28671,,,,,,,,,,,,,
,3663,28880,,,,,,,,,,,,,
,3672,27999,,,,,,,,,,,,,
,3676,26231,,,,,,,,,,,,,
,3689,25317,,,,,,,,,,,,,
,3690,24552,,,,,,,,,,,,,
,3693,27217,,,,,,,,,,,,,
,3693,28701,,,,,,,,,,,,,
,3732,27207,,,,,,,,,,,,,
,3739,26305,,,,,,,,,,,,,
,3769,26172,,,,,,,,,,,,,
,3773,24300,,,,,,,,,,,,,
,3780,30263,,,,,,,,,,,,,
,3788,28565,,,,,,,,,,,,,
,3795,26092,,,,,,,,,,,,,
,3796,26482,,,,,,,,,,,,,
,3806,26224,,,,,,,,,,,,,
,3820,26688,,,,,,,,,,,,,
,3836,26182,,,,,,,,,,,,,
,3841,51127,,,,,,,,,,,,,
,3845,39017,,,,,,,,,,,,,
,3855,32433,,,,,,,,,,,,,
,3858,30694,,,,,,,,,,,,,
,3869,31187,,,,,,,,,,,,,
,3869,31285,,,,,,,,,,,,,
,3892,34075,,,,,,,,,,,,,
,3895,25711,,,,,,,,,,,,,
,3895,26171,,,,,,,,,,,,,
,3897,28073,,,,,,,,,,,,,
,3910,31161,,,,,,,,,,,,,
,3914,27799,,,,,,,,,,,,,
,3915,29516,,,,,,,,,,,,,
,3945,30486,,,,,,,,,,,,,
,3965,27203,,,,,,,,,,,,,
,3986,31449,,,,,,,,,,,,,
,4012,30022,,,,,,,,,,,,,
,4022,28957,,,,,,,,,,,,,
,4038,31325,,,,,,,,,,,,,
,4043,26454,,,,,,,,,,,,,
,4069,30171,,,,,,,,,,,,,
,4091,26858,,,,,,,,,,,,,
,4095,27649,,,,,,,,,,,,,
,4098,92310,,,,,,,,,,,,,
,4098,85118,,,,,,,,,,,,,
,4102,76870,,,,,,,,,,,,,
,4102,64478,,,,,,,,,,,,,
,4104,52908,,,,,,,,,,,,,
,4114,43464,,,,,,,,,,,,,
,4125,38566,,,,,,,,,,,,,
,4131,38330,,,,,,,,,,,,,
,4132,34722,,,,,,,,,,,,,
,4160,41958,,,,,,,,,,,,,
,4163,36860,,,,,,,,,,,,,
,4166,34136,,,,,,,,,,,,,
,4184,31045,,,,,,,,,,,,,
,4184,31159,,,,,,,,,,,,,
,4214,27775,,,,,,,,,,,,,
,4277,32870,,,,,,,,,,,,,
,4279,31506,,,,,,,,,,,,,
,4295,32962,,,,,,,,,,,,,
,4326,34897,,,,,,,,,,,,,
,4338,28970,,,,,,,,,,,,,
,4357,48840,,,,,,,,,,,,,
,4377,38221,,,,,,,,,,,,,
,4395,31936,,,,,,,,,,,,,
,4407,30989,,,,,,,,,,,,,
,4417,39162,,,,,,,,,,,,,
,4424,34621,,,,,,,,,,,,,
,4432,35799,,,,,,,,,,,,,
,4450,34394,,,,,,,,,,,,,
,4469,31934,,,,,,,,,,,,,
,4479,29367,,,,,,,,,,,,,
,4482,46931,,,,,,,,,,,,,
,4490,38939,,,,,,,,,,,,,
,4516,32848,,,,,,,,,,,,,
,4517,39475,,,,,,,,,,,,,
,4532,33411,,,,,,,,,,,,,
,4536,33565,,,,,,,,,,,,,
,4544,39711,,,,,,,,,,,,,
,4547,37780,,,,,,,,,,,,,
,4550,32658,,,,,,,,,,,,,
,4555,35958,,,,,,,,,,,,,
,4559,33803,,,,,,,,,,,,,
,4562,31196,,,,,,,,,,,,,
,4570,34796,,,,,,,,,,,,,
,4574,30858,,,,,,,,,,,,,
,4585,33147,,,,,,,,,,,,,
,4588,31959,,,,,,,,,,,,,
,4595,31027,,,,,,,,,,,,,
,4604,30017,,,,,,,,,,,,,
,4611,76882,,,,,,,,,,,,,
,4617,57367,,,,,,,,,,,,,
,4627,43792,,,,,,,,,,,,,
,4630,42794,,,,,,,,,,,,,
,4636,43488,,,,,,,,,,,,,
,4651,36345,,,,,,,,,,,,,
,4652,37020,,,,,,,,,,,,,
,4676,43758,,,,,,,,,,,,,
,4678,42923,,,,,,,,,,,,,
,4682,37226,,,,,,,,,,,,,
,4694,38059,,,,,,,,,,,,,
,4699,34416,,,,,,,,,,,,,
,4718,33462,,,,,,,,,,,,,
,4729,36060,,,,,,,,,,,,,
,4730,33162,,,,,,,,,,,,,
,4743,44219,,,,,,,,,,,,,
,4778,37373,,,,,,,,,,,,,
,4779,36152,,,,,,,,,,,,,
,4785,35206,,,,,,,,,,,,,
,4811,34317,,,,,,,,,,,,,
,4811,37920,,,,,,,,,,,,,
,4818,38587,,,,,,,,,,,,,
,4828,33373,,,,,,,,,,,,,
,4843,34019,,,,,,,,,,,,,
,4848,35218,,,,,,,,,,,,,
,4871,46906,,,,,,,,,,,,,
,4875,45133,,,,,,,,,,,,,
,4875,47608,,,,,,,,,,,,,
,4879,44333,,,,,,,,,,,,,
,4885,40605,,,,,,,,,,,,,
,4885,42414,,,,,,,,,,,,,
,4895,43018,,,,,,,,,,,,,
,4897,44845,,,,,,,,,,,,,
,4901,42999,,,,,,,,,,,,,
,4904,42754,,,,,,,,,,,,,
,4919,37405,,,,,,,,,,,,,
,4939,36374,,,,,,,,,,,,,
,4941,37127,,,,,,,,,,,,,
,4953,37620,,,,,,,,,,,,,
,4959,32822,,,,,,,,,,,,,
,4961,38937,,,,,,,,,,,,,
,4976,36054,,,,,,,,,,,,,
,4996,43771,,,,,,,,,,,,,
,5011,37643,,,,,,,,,,,,,
,5044,32698,,,,,,,,,,,,,
,5054,33458,,,,,,,,,,,,,
,5055,35369,,,,,,,,,,,,,
,5062,37394,,,,,,,,,,,,,
,5071,36099,,,,,,,,,,,,,
,5076,35445,,,,,,,,,,,,,
,5078,35338,,,,,,,,,,,,,
,5102,33721,,,,,,,,,,,,,
,5117,35648,,,,,,,,,,,,,
,5119,31148,,,,,,,,,,,,,
,5127,102174,,,,,,,,,,,,,
,5144,56353,,,,,,,,,,,,,
,5165,48853,,,,,,,,,,,,,
,5166,48087,,,,,,,,,,,,,
,5179,43557,,,,,,,,,,,,,
,5190,42411,,,,,,,,,,,,,
,5206,47906,,,,,,,,,,,,,
,5212,39069,,,,,,,,,,,,,
,5214,44124,,,,,,,,,,,,,
,5215,44684,,,,,,,,,,,,,
,5219,47137,,,,,,,,,,,,,
,5223,45588,,,,,,,,,,,,,
,5240,36981,,,,,,,,,,,,,
,5253,47080,,,,,,,,,,,,,
,5312,52578,,,,,,,,,,,,,
,5342,37154,,,,,,,,,,,,,
,5344,45064,,,,,,,,,,,,,
,5348,38157,,,,,,,,,,,,,
,5362,38164,,,,,,,,,,,,,
,5367,38716,,,,,,,,,,,,,
,5380,54507,,,,,,,,,,,,,
,5388,48135,,,,,,,,,,,,,
,5397,50083,,,,,,,,,,,,,
,5403,42753,,,,,,,,,,,,,
,5415,43257,,,,,,,,,,,,,
,5416,41318,,,,,,,,,,,,,
,5423,40450,,,,,,,,,,,,,
,5424,47903,,,,,,,,,,,,,
,5431,42886,,,,,,,,,,,,,
,5467,40179,,,,,,,,,,,,,
,5476,42346,,,,,,,,,,,,,
,5485,36587,,,,,,,,,,,,,
,5487,38624,,,,,,,,,,,,,
,5491,43416,,,,,,,,,,,,,
,5516,49615,,,,,,,,,,,,,
,5523,45159,,,,,,,,,,,,,
,5531,41909,,,,,,,,,,,,,
,5571,45459,,,,,,,,,,,,,
,5572,46839,,,,,,,,,,,,,
,5581,41481,,,,,,,,,,,,,
,5585,42301,,,,,,,,,,,,,
,5604,43771,,,,,,,,,,,,,
,5606,38800,,,,,,,,,,,,,
,5609,40627,,,,,,,,,,,,,
,5619,44019,,,,,,,,,,,,,
,5632,101299,,,,,,,,,,,,,
,5644,58991,,,,,,,,,,,,,
,5644,63101,,,,,,,,,,,,,
,5649,58433,,,,,,,,,,,,,
,5657,62831,,,,,,,,,,,,,
,5662,56979,,,,,,,,,,,,,
,5672,55495,,,,,,,,,,,,,
,5675,50262,,,,,,,,,,,,,
,5678,45422,,,,,,,,,,,,,
,5679,48710,,,,,,,,,,,,,
,5681,58078,,,,,,,,,,,,,
,5686,43513,,,,,,,,,,,,,
,5687,46867,,,,,,,,,,,,,
,5704,45985,,,,,,,,,,,,,
,5722,42084,,,,,,,,,,,,,
,5724,45192,,,,,,,,,,,,,
,5747,44499,,,,,,,,,,,,,
,5757,41937,,,,,,,,,,,,,
,5761,64868,,,,,,,,,,,,,
,5778,47130,,,,,,,,,,,,,
,5781,44125,,,,,,,,,,,,,
,5796,42593,,,,,,,,,,,,,
,5802,45185,,,,,,,,,,,,,
,5809,49529,,,,,,,,,,,,,
,5817,46769,,,,,,,,,,,,,
,5826,52553,,,,,,,,,,,,,
,5827,48173,,,,,,,,,,,,,
,5832,47151,,,,,,,,,,,,,
,5849,48264,,,,,,,,,,,,,
,5849,47875,,,,,,,,,,,,,
,5856,50359,,,,,,,,,,,,,
,5908,52421,,,,,,,,,,,,,
,5909,48668,,,,,,,,,,,,,
,5917,48703,,,,,,,,,,,,,
,5918,46452,,,,,,,,,,,,,
,5928,46987,,,,,,,,,,,,,
,5952,57958,,,,,,,,,,,,,
,5962,45605,,,,,,,,,,,,,
,5966,55349,,,,,,,,,,,,,
,5971,48067,,,,,,,,,,,,,
,5975,51461,,,,,,,,,,,,,
,5985,56843,,,,,,,,,,,,,
,6005,45272,,,,,,,,,,,,,
,6014,44709,,,,,,,,,,,,,
,6022,56236,,,,,,,,,,,,,
,6023,53382,,,,,,,,,,,,,
,6024,53662,,,,,,,,,,,,,
,6035,48130,,,,,,,,,,,,,
,6035,47838,,,,,,,,,,,,,
,6040,45489,,,,,,,,,,,,,
,6046,41742,,,,,,,,,,,,,
,6050,50414,,,,,,,,,,,,,
,6052,49091,,,,,,,,,,,,,
,6054,45656,,,,,,,,,,,,,
,6062,47207,,,,,,,,,,,,,
,6064,45524,,,,,,,,,,,,,
,6082,51898,,,,,,,,,,,,,
,6085,49236,,,,,,,,,,,,,
,6089,47485,,,,,,,,,,,,,
,6094,49961,,,,,,,,,,,,,
,6104,46364,,,,,,,,,,,,,
,6106,48750,,,,,,,,,,,,,
,6117,45716,,,,,,,,,,,,,
,6122,49699,,,,,,,,,,,,,
,6128,45058,,,,,,,,,,,,,
,6140,40857,,,,,,,,,,,,,
,6146,143814,,,,,,,,,,,,,
,6168,65398,,,,,,,,,,,,,
,6193,59681,,,,,,,,,,,,,
,6193,62323,,,,,,,,,,,,,
,6204,58396,,,,,,,,,,,,,
,6208,61308,,,,,,,,,,,,,
,6209,64255,,,,,,,,,,,,,
,6213,55696,,,,,,,,,,,,,
,6213,54422,,,,,,,,,,,,,
,6216,57889,,,,,,,,,,,,,
,6218,60452,,,,,,,,,,,,,
,6220,55094,,,,,,,,,,,,,
,6220,54003,,,,,,,,,,,,,
,6223,50747,,,,,,,,,,,,,
,6242,54951,,,,,,,,,,,,,
,6251,51070,,,,,,,,,,,,,
,6263,47911,,,,,,,,,,,,,
,6273,70371,,,,,,,,,,,,,
,6279,59482,,,,,,,,,,,,,
,6282,56970,,,,,,,,,,,,,
,6302,49504,,,,,,,,,,,,,
,6310,56436,,,,,,,,,,,,,
,6315,52879,,,,,,,,,,,,,
,6317,48854,,,,,,,,,,,,,
,6339,57882,,,,,,,,,,,,,
,6351,46275,,,,,,,,,,,,,
,6362,48093,,,,,,,,,,,,,
,6373,50862,,,,,,,,,,,,,
,6380,47420,,,,,,,,,,,,,
,6394,45329,,,,,,,,,,,,,
,6411,64776,,,,,,,,,,,,,
,6427,58898,,,,,,,,,,,,,
,6430,52539,,,,,,,,,,,,,
,6437,50717,,,,,,,,,,,,,
,6439,52823,,,,,,,,,,,,,
,6442,54334,,,,,,,,,,,,,
,6458,47172,,,,,,,,,,,,,
,6476,50500,,,,,,,,,,,,,
,6476,52823,,,,,,,,,,,,,
,6491,48482,,,,,,,,,,,,,
,6492,50135,,,,,,,,,,,,,
,6507,49825,,,,,,,,,,,,,
,6509,56687,,,,,,,,,,,,,
,6532,59821,,,,,,,,,,,,,
,6560,57992,,,,,,,,,,,,,
,6579,47180,,,,,,,,,,,,,
,6586,50154,,,,,,,,,,,,,
,6598,56621,,,,,,,,,,,,,
,6606,56116,,,,,,,,,,,,,
,6607,46465,,,,,,,,,,,,,
,6619,50307,,,,,,,,,,,,,
,6625,56692,,,,,,,,,,,,,
,6632,47429,,,,,,,,,,,,,
,6644,48186,,,,,,,,,,,,,
,6646,44504,,,,,,,,,,,,,
,6655,45624,,,,,,,,,,,,,
,6661,91518,,,,,,,,,,,,,
,6682,66055,,,,,,,,,,,,,
,6709,60624,,,,,,,,,,,,,
,6719,55153,,,,,,,,,,,,,
,6737,61544,,,,,,,,,,,,,
,6754,57541,,,,,,,,,,,,,
,6757,59662,,,,,,,,,,,,,
,6793,63270,,,,,,,,,,,,,
,6793,58170,,,,,,,,,,,,,
,6794,64349,,,,,,,,,,,,,
,6803,59214,,,,,,,,,,,,,
,6804,60142,,,,,,,,,,,,,
,6831,50920,,,,,,,,,,,,,
,6833,54452,,,,,,,,,,,,,
,6841,51431,,,,,,,,,,,,,
,6847,55388,,,,,,,,,,,,,
,6854,54490,,,,,,,,,,,,,
,6858,53707,,,,,,,,,,,,,
,6865,52612,,,,,,,,,,,,,
,6882,55350,,,,,,,,,,,,,
,6883,58156,,,,,,,,,,,,,
,6900,49085,,,,,,,,,,,,,
,6908,47833,,,,,,,,,,,,,
,6919,70658,,,,,,,,,,,,,
,6926,61239,,,,,,,,,,,,,
,6940,53044,,,,,,,,,,,,,
,6947,61855,,,,,,,,,,,,,
,6959,57314,,,,,,,,,,,,,
,6961,55055,,,,,,,,,,,,,
,6969,61316,,,,,,,,,,,,,
,6969,54077,,,,,,,,,,,,,
,6971,55405,,,,,,,,,,,,,
,7006,53255,,,,,,,,,,,,,
,7018,53811,,,,,,,,,,,,,
,7023,53263,,,,,,,,,,,,,
,7024,54825,,,,,,,,,,,,,
,7030,55736,,,,,,,,,,,,,
,7031,48665,,,,,,,,,,,,,
,7074,59182,,,,,,,,,,,,,
,7077,53546,,,,,,,,,,,,,
,7109,60266,,,,,,,,,,,,,
,7126,53694,,,,,,,,,,,,,
,7135,56573,,,,,,,,,,,,,
,7140,50057,,,,,,,,,,,,,
,7142,53384,,,,,,,,,,,,,
,7145,53443,,,,,,,,,,,,,
,7155,58036,,,,,,,,,,,,,
,7164,52721,,,,,,,,,,,,,
,7181,104188,,,,,,,,,,,,,
,7191,94873,,,,,,,,,,,,,
,7192,76712,,,,,,,,,,,,,
,7194,89161,,,,,,,,,,,,,
,7198,74380,,,,,,,,,,,,,
,7207,70198,,,,,,,,,,,,,
,7210,67970,,,,,,,,,,,,,
,7234,64646,,,,,,,,,,,,,
,7244,60554,,,,,,,,,,,,,
,7259,65100,,,,,,,,,,,,,
,7265,70029,,,,,,,,,,,,,
,7268,57577,,,,,,,,,,,,,
,7270,60785,,,,,,,,,,,,,
,7280,62872,,,,,,,,,,,,,
,7296,82991,,,,,,,,,,,,,
,7302,66183,,,,,,,,,,,,,
,7312,69583,,,,,,,,,,,,,
,7329,62836,,,,,,,,,,,,,
,7333,60115,,,,,,,,,,,,,
,7335,63220,,,,,,,,,,,,,
